순번,작가명,1차업로드,2차업로드,비고
1,강재훈,678,479,
2,강진주,590,,
3,강홍구,292,,
4,고정남,37,,코로나19포트폴리오 작가
5,금혜원,94,,
6,김지연,68,,
7,노순택,376,,코로나19포트폴리오 작가
8,문선희,23,,
9,박부곤,92,,
10,박정근,87,,
11,박종우,435,70,
12,박지원,42,,코로나19포트폴리오 작가
13,박찬원,134,,
14,박태희,100,,
15,박형근,291,,
16,박홍순,262,,
17,방명주,43,,
18,성남훈,517,,
19,신웅재,32,,코로나19포트폴리오 작가
20,신은경,103,,
21,신희수,54,,코로나19포트폴리오 작가
22,안홍범,384,,
23,엄상빈,125,,
24,오석근,20,,코로나19포트폴리오 작가
25,이건영,82,,
26,이규철,113,,
27,이기명,(23),45,
28,이동문,60,,
29,이상일,200,,
30,이재용,51,,
31,임안나,35,,코로나19포트폴리오 작가
32,임채욱,139,,
33,전영석,41,,
34,전은선,46,,
35,정주하,201,,
36,조선희,47,,
37,조우혜,190,,
38,조현택,100,40,<거리의 기술>지역순회전 초청작가
39,지성배,132,,
40,최광호,170,,
41,최영진,312,,코로나19포트폴리오 작가
42,최형락,262,,
43,하지권,271,,
44,한금선,9,,코로나19포트폴리오 작가
45,한성필,957,,
46,황규태,10,,
47,리일천,,40,<거리의 기술>지역순회전 초청작가
48,윤창수,,51,<거리의 기술>지역순회전 초청작가
49,이동근,,20,<거리의 기술>지역순회전 초청작가
50,이세현,,30,<거리의 기술>지역순회전 초청작가
51,강유환,10,,코로나19포트폴리오공모전 수상자
52,고은희,10,,코로나19포트폴리오공모전 수상자
53,김경훈,10,,코로나19포트폴리오공모전 수상자
54,박종권,10,,코로나19포트폴리오공모전 수상자
55,손현곤,10,,코로나19포트폴리오공모전 수상자
56,윤재운,10,,코로나19포트폴리오공모전 수상자
57,윤태형,10,,코로나19포트폴리오공모전 수상자
58,이희망,10,,코로나19포트폴리오공모전 수상자
59,정민식,10,,코로나19포트폴리오공모전 수상자
60,조은희,10,,코로나19포트폴리오공모전 수상자
61,오도연,1,,도서<거리의 기술> 에필로그
62,권혁만,1,,도서<거리의 기술> 에필로그
63,노희완,1,,도서<거리의 기술> 에필로그
64,임남석,1,,도서<거리의 기술> 에필로그
65,신경훈,2,,도서<거리의 기술> 에필로그
66,남형진,1,,도서<거리의 기술> 에필로그
67,신영록,1,,도서<거리의 기술> 에필로그
68,김지영,1,,도서<거리의 기술> 에필로그
69,이동화,1,,도서<거리의 기술> 에필로그
