# 시작일: 20210701,,,# 시작일: 20220701,,,# 시작일: 20230701,,,# 시작일: 20240701,,,# 시작일: 20250701,
# 종료일: 20220630,,,# 종료일: 20230630,,,# 종료일: 20240630,,,# 종료일: 20250630,,,# 종료일: 20260630,
국가,활성 사용자,,국가,활성 사용자,,국가,활성 사용자,,국가,활성 사용자,,국가,활성 사용자
South Korea,2005.0,,South Korea,2045.0,,South Korea,2517.0,,South Korea,3986.0,,South Korea,3389.0
United States,218.0,,United States,152.0,,United States,150.0,,United States,392.0,,United States,251.0
China,71.0,,China,36.0,,China,60.0,,China,67.0,,Germany,153.0
Ireland,14.0,,United Kingdom,13.0,,Japan,27.0,,Ireland,41.0,,China,49.0
Japan,10.0,,Japan,12.0,,Germany,25.0,,Japan,40.0,,Japan,32.0
Sweden,10.0,,Ireland,9.0,,Singapore,10.0,,Singapore,36.0,,Ireland,24.0
Italy,7.0,,Sweden,8.0,,Canada,9.0,,Netherlands,20.0,,Singapore,20.0
Germany,5.0,,Germany,5.0,,Australia,7.0,,Sweden,19.0,,Sweden,20.0
Australia,3.0,,France,3.0,,Russia,5.0,,Germany,16.0,,(not set),17.0
Canada,3.0,,India,3.0,,Thailand,5.0,,(not set),11.0,,United Kingdom,14.0
Turkey,3.0,,Russia,3.0,,United Kingdom,5.0,,United Kingdom,9.0,,Hong Kong,8.0
Israel,2.0,,Spain,3.0,,Finland,4.0,,France,8.0,,Taiwan,8.0
United Kingdom,2.0,,Taiwan,3.0,,France,4.0,,Canada,6.0,,Canada,7.0
(not set),1.0,,Ghana,2.0,,Indonesia,4.0,,Hong Kong,6.0,,Netherlands,6.0
Brunei,1.0,,Israel,2.0,,Israel,3.0,,Finland,5.0,,Russia,6.0
France,1.0,,Italy,2.0,,Netherlands,3.0,,Austria,3.0,,Iran,5.0
Georgia,1.0,,Malawi,2.0,,(not set),2.0,,Indonesia,3.0,,Vietnam,5.0
Hungary,1.0,,Nepal,2.0,,Kenya,2.0,,Belgium,2.0,,Brazil,4.0
India,1.0,,Switzerland,2.0,,Taiwan,2.0,,Cambodia,2.0,,France,4.0
Luxembourg,1.0,,Canada,1.0,,Vietnam,2.0,,Czechia,2.0,,Poland,4.0
Nepal,1.0,,Equatorial Guinea,1.0,,Armenia,1.0,,Kenya,2.0,,Australia,3.0
Pakistan,1.0,,Guam,1.0,,Austria,1.0,,Mexico,2.0,,Indonesia,3.0
Russia,1.0,,Indonesia,1.0,,Belgium,1.0,,Nepal,2.0,,Macao,3.0
Taiwan,1.0,,Madagascar,1.0,,Congo - Kinshasa,1.0,,Poland,2.0,,Philippines,3.0
Tanzania,1.0,,Netherlands,1.0,,Malaysia,1.0,,Russia,2.0,,Spain,3.0
Thailand,1.0,,New Zealand,1.0,,Morocco,1.0,,Switzerland,2.0,,Türkiye,3.0
Vietnam,1.0,,Nigeria,1.0,,New Zealand,1.0,,Taiwan,2.0,,Colombia,2.0
,,,Philippines,1.0,,Northern Mariana Islands,1.0,,Argentina,1.0,,Malaysia,2.0
,,,Thailand,1.0,,Pakistan,1.0,,Australia,1.0,,Mexico,2.0
,,,Uganda,1.0,,Palau,1.0,,Ecuador,1.0,,New Zealand,2.0
,,,Vietnam,1.0,,Portugal,1.0,,Georgia,1.0,,Ukraine,2.0
,,,,,,South Africa,1.0,,Ghana,1.0,,Croatia,1.0
,,,,,,Sweden,1.0,,Hungary,1.0,,Egypt,1.0
,,,,,,Ukraine,1.0,,India,1.0,,Hungary,1.0
,,,,,,,,,Malaysia,1.0,,India,1.0
,,,,,,,,,Philippines,1.0,,Italy,1.0
,,,,,,,,,Spain,1.0,,Kenya,1.0
,,,,,,,,,Thailand,1.0,,Luxembourg,1.0
,,,,,,,,,Türkiye,1.0,,Morocco,1.0
,,,,,,,,,Uzbekistan,1.0,,Norway,1.0
,,,,,,,,,Vietnam,1.0,,Pakistan,1.0
,,,,,,,,,,,,Portugal,1.0
,,,,,,,,,,,,Romania,1.0
,,,,,,,,,,,,Switzerland,1.0
,,,,,,,,,,,,United Arab Emirates,1.0
