,2021-07 ~ 2022-06,2022-07 ~ 2023-06,2023-07 ~ 2024-06,2023-07 ~ 2024-06,2025-07 ~ 2026-06,설명,,,,,,,,,,,,,,,,,,
01 사용자 수,2365.0,2315.0,2859.0,4697.0,4062.0,,,,,,,,,,,,,,,,,,,
02 페이지 조회수,23309.0,15887.0,12792.0,21349.0,13729.0,,,,,,,,,,,,,,,,,,,
03 이벤트 수,56886.0,41896.0,36380.0,58556.0,40704.0,개별 이벤트 수는 개별 시트 참고,,,,,,,,,,,,,,,,,,
04 유입 경로,,,,,,개별 시트 참고,,,,,,,,,,,,,,,,,,
05 구글 자연 검색어,,,,,,통계 없음 (미설정),,,,,,,,,,,,,,,,,,
06 인기 페이지,,,,,,개별 시트 참고,,,,,,,,,,,,,,,,,,
07 내부 검색어,,,,,,통계 없음 (미설정),,,,,,,,,,,,,,,,,,
08 성별 사용자,,,,,,통계 없음 (미설정),,,,,,,,,,,,,,,,,,
09 연령별 사용자,,,,,,통계 없음 (미설정),,,,,,,,,,,,,,,,,,
10 기기별 사용자,,,,,,개별 시트 참고,,,,,,,,,,,,,,,,,,
11 국가별 사용자,,,,,,개별 시트 참고,,,,,,,,,,,,,,,,,,
