순번,날짜,구분,매체명,제목
1,2021. 7. 26,일간지,환경일보,"숲과나눔, 환경사진아카이브 구축"
2,2021. 7. 26,인터넷,에코저널,(재)숲과나눔 환경사진아카이브 구축·공개
3,2021. 7. 26,인터넷,시사타임즈,"(재)숲과나눔, ‘환경사진아카이브’ 구축…총 1만여 점 탑재"
4,2021. 7. 26,인터넷,이로운넷,"숲과나눔, 환경사진아카이브 구축"
5,2021. 7. 26,일간지,매일경제,"[포토] 재단법인 숲과나눔, ‘환경사진아카이브' 구축"
6,2021. 7. 27,통신사,뉴시스,"재단법인 숲과나눔, ‘환경사진아카이브 구축 운영"
7,2021. 7. 27,통신사,뉴시스,"재단법인 숲과나눔, ‘환경사진아카이브 구축 운영"
8,2021. 7. 27,통신사,뉴시스,"재단법인 숲과나눔, ‘환경사진아카이브 구축 운영"
9,2021. 7. 27,통신사,뉴시스,"재단법인 숲과나눔, ‘환경사진아카이브 구축 운영"
10,2021. 7. 27,인터넷,환경미디어,(재)숲과나눔 환경사진아카이브 구축 한국을 대표하는 사진작가의 환경사진 한 곳에
11,2021. 7. 27,일간지,한국일보,"숲과나눔, 사진가 46인 환경작품 모아 '환경사진아카이브' 열어"
12,2021. 7. 27,일간지,중앙일보,"한국 사진작가 46인이 모은 1만여 점의 주요 환경 이슈, '환경사진아카이브'"
13,2021. 7. 28,일간지,더팩트,"환경사진이 한 자리에'…숲과나눔, 환경사진아카이브 오픈 [TF사진관]"
14,2021. 7. 30,인터넷,조선일보,사진가 46인 환경작품 모아 ‘환경사진아카이브’ 열어
