순번,제목,게시일(2022),페이스북도달,인스타그램도달
1,tvn 알쓸범잡2 '온산병' 이 뭐에요??!,02월 14일,601,878
2,에파진이 뭔가요?,03월 23일,512,956
3,"""아름답고 슬픈 새만금""",03월 30일,73,681
4,"""일회용 폐기물로 파괴되는 환경을 작품에 담았어요""",04월 06일,415,811
5,"에파진 소개, 전시 리뷰Eco Photo Archive 이슈 11",04월 20일,314,356
6,그리고.. 아무것도 하지 않았다,05월 02일,278,314
7,"요즘 tvn드라마 '우리들의 블루스' 를 보면서 해녀, 바다를 보면서 제주도를 떠올리게 되는데요!",05월 10일,481,520
8,"""우리 마을은 시끄럽습니다. 날마다 날아오는 비행기 때문입니다. """,05월 18일,460,489
9,갑자기 더워진 날씨 덕에 시원한 사진을 찾다 보니 시원하다 못해 춥고 무서운 사진을 찾았어요,05월 24일,428,539
10,오늘은 바다의 날 우리는#백령도에서 함께 살아요!,05월 31일,331,521
11,요즘 비가 많이 모자라요...,06월 09일,291,327
12,보고만 있어도 웅장하고 시원해지는 작품,06월 15일,218,468
13,800번의 다이빙을 통해 만난 아름다운 바다생물,06월 20일,764,11305
14,우리 동네 가로수는 어떤 모습일까요?,06월 22일,391,460
15,"""생명의 고향으로, 800번의 귀향""",06월 22일,5853,504
16,"추적추적 비 내리는 요즘, 장마입니다!",06월 29일,293,330
17,이른 폭염과 무더위로 다들 더우시죠?,07월 06일,278,372
18,우와~ 여름이다!!!!,07월 13일,520,384
19,폭염으로 산불이 난 것 아시나요?!,07월 20일,347,896
20,채솟값이 금값?!?!!,07월 26일,424,453
21,우영우'가 사랑하는 고래,08월 02일,593,744
22,자연은 인간의 유용한 도구...?,08월 10일,384,522
23,우리가 편할수록 제주도는 불편해져요,08월 17일,341,433
24,빈방에 다양한 풍경을 한눈에,08월 26일,512,422
25,동물은 말이 없다.,08월 30일,359,393
26,지속 가능한 미술관이 되기 위하여,09월 06일,276,493
27,우리가 보는 것은 무엇인가? 한성필 초대전,09월 14일,366,537
28,서울에서 만나는 뉴욕 자연사 박물관,09월 21일,435,404
29,환경사진 아카이브에서 첫 전시회를 선보입니다,09월 28일,478,583
30,오늘은 10월 4일 세계 동물의 날입니다,10월 04일,408,1093
31,갑자기 다가온 추이,10월 12일,334,344
32,가을걷이라고도 부르는 추수 계절이 왔네요,10월 18일,312,322
33,도심 속 느림의 미학,10월 25일,292,354
34,"자연을 먹고 마시며, 자연이 예술이 되는 김순임 자각의 Nature on Food",11월 02일,502,323
35,인간성마저 파묻어 버린 땅에 대한 기록,11월 08일,278,740
36,"오색찬란' 단풍시절, 꼭 봐야 할 사진",11월 16일,393,360
37,누가 쓰레기 산을 만드나,11월 23일,415,471
38,"<유유자적, 전시에 참여한 EPA작가들>",11월 30일,214,630
39,갱도 내에서의 숨 막히는 노동의 현장,12월 06일,308,323
40,"""인간이 원하는 것을 동물들도 원한다는 것을 인간이 알면 좋겠다",12월 14일,240,383
41,우리가 잃어버린 것들을 찾아서,12월 20일,264,481
