,,,1,2,3,4,5,6,7,8,9,10,11,12,13,,
,전시명,기사 수,기사링크,,,,,,,,,,,,,,
1,기록과 기억–함께사는길 30년,6,오마이뉴스,서울문화투데이,더버터,이로운넷,한겨레,산림신문,,,,,,,,,
2,두 개의 바다,4,경향신문,브릭메거진,동아일보,환경일보,,,,,,,,,,,
3,"흑산, 멀고 짙고",7,라이프인,연합뉴스,환경일보,한겨레,경향신문,뉴시스,뉴스클레임,,,,,,,,
4,공존의 예술: 다름을 품는 방식에 대한 하나의 사유,1,민화뉴스,,,,,,,,,,,,,,
5,"잇고, 풀고, 비우고",4,브레이크뉴스,민화뉴스,민화뉴스,브레이크뉴스,,,,,,,,,,,
6,마음의 기후,7,소셜임팩트뉴스,환경일보,프레시안,민들레,미디어피아,뉴스핌,시사타임즈,,,,,,,,
7,"사라지기 전에: 현진오, 멸종위기식물 40년 기록",9,라이프인,민들레,에코파일,더버터,조선일보,시사타임즈,뉴스펭귄,동아일보,국민일보,,,,,,
8,흐르지 않는 강: 김원의 4대강 기록,5,소셜임팩트뉴스,민들레,환경과조경,환경일보,환경일보,,,,,,,,,,
9,천 개의 카메라 4기 《신성한 제의와 동쪽의 궁궐》,-,,,,,,,,,,,,,,,
10,시소리동굴,5,환경일보,동아사이언스,현대경제신문,환경법률신문,아크로펜,,,,,,,,,,
11,"평화여, 멀구나",8,링크,링크,링크,링크,링크,링크,링크,링크,,,,,,,
12,오랜 정원에서,10,링크,링크,링크,링크,링크,링크,링크,링크,링크,링크,,,,,
13,두 번째 살갗: 303.8ha,13,링크,링크,링크,링크,링크,링크,링크,링크,링크,링크,링크,링크,링크,,
14,제23회 사진비평상-창작상 수상기념 전시,8,링크,링크,링크,링크,링크,링크,링크,링크,,,,,,,
