공간풀숲 전시 목록,,,,,,,,,,,
,전시명,기간,전시일수,참여작가,전시유형,전시구분,환경키워드,키워드,프로그램 ,관람객수,비고
1,기록과 기억–함께사는길 30년,2025.07.15 - 2025.08.31,47일,이성수,사진·아카이브,공간풀숲 개관특별전,,"기록, 아카이브, 환경전문매체, 시민환경운동, 생태 보전, 매체 역사","오프닝 / 랩이야#1<환경아카이브풀숲-세미나>, 랩이야#2<풀토크>",,
2,두 개의 바다,2025.09.11 - 202510.18,37일,강홍구,회화,공간풀숲 기획전,,"기후위기, 해양오염, 폐어망, 섬, 신안 바다, 고향, 기억과 현실","오프닝 / 랩이야#3<아티스트톡>, 랩이야#4<생태기행>",,
3,"흑산, 멀고 짙고",2025.10.29 - 2025.11.29,31일,노순택,사진·다큐멘터리,공간풀숲 기획전,,"흑산도, 섬, 바다, 주민, 이주노동, 어업, 지역사, 정약전",오프닝 / 랩이야#5<풀숲토크>,,
4,공존의 예술: 다름을 품는 방식에 대한 하나의 사유,2025.12.02 - 202512.13,11일,길상화사(동국대학교 문화예술대학원 민화 전공자들),민화·회화,공간풀숲 기획전,,"전통민화, 동시대 민화, 다름, 관계, 포용, 연대, 상생, 생명",오프닝,,
5,"잇고, 풀고, 비우고",2026.01.10 - 2026.01.17,8일,김문정,민화·혼합매체,기획지원전,,"관계, 연기 사상, 인연, 연결, 공존, 순환",오프닝(출판기념행사),,
6,마음의 기후,2026.02.04 - 2026.02.28,25일,김영미,회화,공간풀숲 기획전,"돌봄, 공존","기후위기, 돌봄, 인간, 공존",오프닝 / 랩이야#6<아티스트톡>,250,
7,"사라지기 전에: 현진오, 멸종위기식물 40년 기록",2026.03.05 - 2026.04.04,31일,현진오,사진,공간풀숲 기획전,"생물다양성, 멸종위기종","멸종위기식물, 기록, 생태, 아카이브, 생물다양성",오프닝 / 랩이야#8<생물다양성 특강>,1000,
8,흐르지 않는 강: 김원의 4대강 기록,2026.04.11 - 2026.04.25,15일,김원,사진,공간풀숲 기획전,"하천생태계, 환경파괴","4대강, 환경파괴, 기록, 다큐멘터리, 하천생태계",오프닝 / 랩이야#9<상영회 및 GV>,285,
9,천 개의 카메라 《신성한 제의와 동쪽의 궁궐》,2026.04.28 - 2026.05.09,13일,"성남훈, 정명식, 구의진, 조신형 외 참여작가 15인",사진,기획지원전,"기록과 보존, 문화유산","유네스코유산, 기록, 서울, 사진, 무형유산, 아카이브",오프닝,250,후지필름 협력 프로젝트
10,시소리동굴,2026.05.12 - 2026.05.22,11일,"주형지, 백지현",사운드·설치,오픈콜 당선전,"자연감각, 참여예술","퍼머컬처, 공동체, 감각, 업사이클링, 사운드, 참여형 전시",케이브잼 / 클로징파티,152,2026 오픈콜 당선작
11,"평화여, 멀구나",2026.05.26 - 2026.06.07,13일,문정현 외 12인,복합매체,오픈콜 당선전,"생태평화, 갯벌보전","새만금, 평화, 생태, 군사기지, 기록",오프닝 공연 / 넬켈라인 퍼포먼스 / 새와 사람의 날,596,2026 오픈콜 당선작
12,오랜 정원에서,2026.06.11 - 2026.06.27,16일,이재용,사진,공간풀숲 기획전,"식물기록, 생물다양성","정원, 식물, 기록, 아카이브, 생태, 시간, 보존, 사진",오프닝 / 랩이야#10<아티스트톡>,245,
13,두 번째 살갗: 303.8ha,2026.07.11 - 2026.07.31,21일,유용예,사진,공간풀숲 기획전,,"가파도, 해녀, 바다, 해양생태, 기후위기, 기록, 사진, 아카이브, 공동체",오프닝 / 랩이야#11<아티스트톡>,253,
14,제23회 사진비평상-창작상 수상기념 전시,2026.08.04 - 2026.08.14,10일,"김현석, 이재균",사진,기획지원전,,"도시개발, 도시생태, 개발과 자연, 장소 변화, 인간과 비인간, 환경과 기억",오프닝,,"(재)숲과나눔·공간풀숲, 파나소닉"
,,,,,,*공간풀숲 기획전,,공간풀숲이 직접 기획하고 운영하는 전시입니다. 환경과 예술을 연결하는 다양한 주제를 발굴하고 공간풀숲만의 시선으로 전시를 기획합니다.,,,
,,,,,,*기획지원전,,"작가와 단체의 전시를 대상으로 전시 기획, 공간, 홍보 등 전시 운영 전반을 함께 지원합니다.",,,
,,,,,,*오픈콜 당선전,,"환경을 주제로 활동하는 개인과 단체를 공개 모집하여 전시 공간과 홍보, 인쇄물 제작 등을 지원합니다.",,,
