공간풀숲 전시 상세 내용,,,,,,,,,,,,,,,,,,,,,,,,,
,년도,전시명,전시 의의,주요 내용,주요 프로그램,협업 기관,주요 성과,,,,,,,,,,,,,,,,,,
1,2025,기록과 기억–함께사는길 30년,"환경 전문 매체 『함께사는길』의 역사와 사진의 기록적·예술적 가치를 조명하고, 한국 환경운동 30년의 기록과 기억을 시민들과 공유한 전시",『함께사는길』 실물 잡지와 이성수 작가가 촬영한 환경운동 현장 사진을 통해 1993년부터 2023년까지 이어진 한국 환경운동의 흐름을 조명,"오프닝
랩이야 #1 《기록은 어떻게 실천이 되는가?》
랩이야 #2 《함께 살거나, 죽거나》",숲과나눔·공간풀숲,"공간풀숲 개관특별전 개최, 아카이브 자료의 오프라인 전시 확장, 한국 환경운동사의 시민 공유",,,,,,,,,,,,,,,,,,
2,2025,두 개의 바다,"작가가 기억하는 어린 시절의 바다와 해양쓰레기로 뒤덮인 현실의 바다를 교차해 보여주며, 오늘날 바다 생태계가 마주한 위기를 예술적으로 환기한 전시","전남 신안 어의도 출신인 강홍구 작가가 고향의 바다를 오가며 마주한 풍경을 회화로 표현했다. 자연의 아름다움과 비닐, 페트병, 폐그물, 부표 등이 뒤섞인 해안의 현실을 함께 보여준다.","오프닝
랩이야 #3 《강홍구의 두 개 바다 이야기》
랩이야 #4 《인왕산 플로깅·작가와의 만남》",숲과나눔·공간풀숲,"40점의 신작 공개, 25m 길이의 대형 미발표작 최초 공개, 회화를 통한 해양쓰레기 문제의 시민 공유",,,,,,,,,,,,,,,,,,
3,2025,"흑산, 멀고 짙고","관광지의 이미지로 소비되는 흑산도를 넘어, 섬의 자연과 동물, 주민의 삶, 역사와 서사를 사진과 글로 기록해 흑산도의 다층적인 모습을 조명한 전시",노순택 작가가 전남 신안 흑산도의 자연 풍광에서 시작해 동물과 주민의 삶으로 시선을 확장하며 섬에 축적된 시간과 역사를 기록했다.,"오프닝
랩이야 #5 《사진과 시와 흑산: 노순택 사진 찍고 이주빈 시 쓰고》",숲과나눔·공간풀숲,"흑산도를 기록한 신작 80여 점 공개, 사진과 장문의 작업 노트를 결합한 다큐멘터리 전시 구성, 섬의 자연·역사·주민 서사의 통합적 기록",,,,,,,,,,,,,,,,,,
4,2025,공존의 예술: 다름을 품는 방식에 대한 하나의 사유,서로 다른 존재와 가치가 함께 살아가는 공존의 의미를 민화의 상징과 조형언어를 통해 탐색한 전시,동국대학교 문화예술대학원 민화 전공자들의 예술공동체 길상화사가 ‘다름을 품는 방식’을 주제로 다양한 민화 작품을 선보인 제9회 정기전,오프닝,숲과나눔·공간풀숲,"민화의 전통적 조형언어를 공존과 다양성이라는 동시대적 주제로 확장, 외부 예술단체와 공간풀숲의 협업 전시 운영",,,,,,,,,,,,,,,,,,
5,2026,"잇고, 풀고, 비우고","전통 민화의 조형 요소를 현대적인 재료와 표현방식으로 확장하고, 불교의 연기 사상과 인간관계의 구조를 시각적으로 탐구한 개인전이다. 민화의 장르적 범주를 넘어 한국 현대미술의 새로운 조형 가능성을 제시했다는 점에서 의미가 있다.","세상의 모든 존재가 독립적으로 존재하는 것이 아니라 서로 관계를 맺으며 생성·변화한다는 연기 사상을 바탕으로 한다. 작가는 한지죽과 실을 겹치고 얽는 방식으로 인간관계의 연결과 단절, 상처와 회복, 채움과 비움의 구조를 표현했다.","오프닝, 저서 《불교와 미술-연기 사상의 조형적 표현》 출판기념",숲과나눔·공간풀숲,"전통 민화의 조형 요소를 한지죽과 실 등 현대적 재료로 확장하고, 연기 사상과 관계의 의미를 독창적인 조형 언어로 구현해 민화와 현대미술의 경계를 넓혔다.",,,,,,,,,,,,,,,,,,
5,2026,마음의 기후,"기후위기 시대를 살아가는 개인의 감정과 감각을 예술적으로 풀어내며, 환경 문제를 ‘마음의 변화’로 연결한 전시",회화 및 설치 작업을 통해 기후와 인간의 관계를 감각적으로 표현,"오프닝(김영미의 드로잉 퍼포먼스)
랩이야 #6 《돌봄과 살핌의 미학》",숲과나눔·공간풀숲,환경 감수성을 주제로 한 기획 전시 운영,,,,,,,,,,,,,,,,,,
6,2026,"사라지기 전에: 현진오, 멸종위기식물 40년 기록",40년간 기록된 멸종위기식물 사진과 자료를 통해 사라져가는 생태 환경의 현재를 조명한 아카이브 전시,"멸종위기식물 사진, 기록 자료, 영상 및 출판물 전시","오프닝
랩이야 #8 《생명다양성, 사라지는 식물들》",숲과나눔·공간풀숲,"멸종위기식물 기록 아카이브 구축 / 
작품 판매 및 관람객 호응",,,,,,,,,,,,,,,,,,
7,2026,흐르지 않는 강: 김원의 4대강 기록,4대강 사업 이후 변화한 강의 풍경과 환경 문제를 기록하며 개발과 생태의 관계를 질문한 다큐멘터리 사진 전시,"4대강 기록 사진, 영상, 아카이브 자료 전시","오프닝
랩이야 #9《다큐멘터리 추적 상영 및 GV》",숲과나눔·공간풀숲,환경 이슈 기반 기록 전시 및 영화 상영 및 관객 대화 프로그램 운영,,,,,,,,,,,,,,,,,,
8,2026,천 개의 카메라 4기 《신성한 제의와 동쪽의 궁궐》,서울의 유네스코 유형·무형유산을 동시대 사진 기록으로 아카이빙하며 오늘의 유산을 미래로 연결한 프로젝트 전시,"창덕궁, 종묘, 조계사, 판소리, 종묘제례 등 서울의 유산 기록 사진 전시",오프닝,"후지필름
숲과나눔·공간풀숲",다수 작가 참여형 기록 프로젝트,,,,,,,,,,,,,,,,,,
9,2026,시소리동굴,버려진 재료와 몸의 감각을 연결하며 예술을 공동의 감각장으로 확장한 참여형 설치 전시,"폐종이, 폐목재, 자연물 등을 활용한 사운드 설치 및 참여형 구조물 전시","CAVE JAM 워크숍
클로징 리셉션
야간 개관",숲과나눔·공간풀숲,오픈콜 선정 전시 / 관객 참여형 프로그램 및 감각 체험 운영,,,,,,,,,,,,,,,,,,
10,2026,"평화여, 멀구나",새만금 개발과 군사기지 확장 문제를 예술을 통해 조명하며 생태와 평화의 관계를 질문한 전시,"사진, 회화, 바느질, 서각 등 다양한 매체를 통한 기록 및 설치 작업","오프닝 공연
넬켈라인 퍼포먼스
‘새와 사람의 날’ 작가 도슨트",숲과나눔·공간풀숲,오픈콜 선정 전시 / 새만금 생태·평화 이슈를 다룬 연대 전시 운영,,,,,,,,,,,,,,,,,,
11,2026,오랜 정원에서,"식물을 기록과 보존의 대상으로 바라보며, 정원의 시간과 생명의 흔적을 사진으로 아카이빙한 전시",작가가 직접 가꾸는 정원의 식물을 표본화하고 촬영한 사진 작품 24점 전시. 포커스 스태킹과 카본 프린트 기법을 활용하여 식물의 미세한 결까지 기록,랩이야 #10《오랜 정원에서- 작가와의 만남》,숲과나눔·공간풀숲,식물 아카이브 기반 전시 운영,,,,,,,,,,,,,,,,,,
12,2026,두 번째 살갗: 303.8ha,"제주 가파도 해녀의 삶과 바다를 기록하며 기후위기와 해양환경 변화, 지역의 기억을 예술로 아카이빙한 전시","해녀의 초상과 작업 풍경, 채집물, 해녀의 이동 경로(여지도), 영상과 오브제를 통해 인간과 바다의 관계를 조명",랩이야 #11《두 번째 살갗: 303.8ha - 작가와의 만남》,숲과나눔·공간풀숲,"제주 해녀 문화와 생태환경에 대한 관람객 인식 제고, 기록예술의 확장, 지역 생태·문화 아카이브 구축",,,,,,,,,,,,,,,,,,
