2026 공간풀숲 전시 정량 성과,,,,,,,,,
,전시명,관람객,전시연계프로그램,프로그램 참여 인원,기사 수,sns 게시물수,판매 작품,,
1,기록과 기억–함께사는길 30년,-,"랩이야 #1 《기록은 어떻게 실천이 되는가?》
랩이야 #2 《함께 살거나, 죽거나》",-,6,15,,재단인스타4/풀숲인스타3/페이스북4/블로그4,
2,두 개의 바다,-,"랩이야 #3 《강홍구의 두 개 바다 이야기》
랩이야 #4 《인왕산 플로깅·작가와의 만남》",-,4,12,,재단인스타3/풀숲인스타3/페이스북3/블로그3,
3,"흑산, 멀고 짙고",-,랩이야 #5 《사진과 시와 흑산: 노순택 사진 찍고 이주빈 시 쓰고》,-,7,6,,재단인스타1/풀숲인스타2/페이스북1/블로그2,
4,공존의 예술: 다름을 품는 방식에 대한 하나의 사유,-,-,-,1,0,,-,
5,"잇고, 풀고, 비우고",-,-,-,3,0,,-,
6,마음의 기후,250,"오프닝(김영미의 드로잉 퍼포먼스)
랩이야 #6 《돌봄과 살핌의 미학》",25,7,7,-,재단인스타2/풀숲인스타2/페이스북2/블로그1,
7,"사라지기 전에: 현진오, 멸종위기식물 40년 기록",1000,"랩이야 #8 《생명다양성, 사라지는 식물들》",83,9,19,25,재단인스타7/풀숲인스타2/페이스북7/블로그3,
8,흐르지 않는 강: 김원의 4대강 기록,285,랩이야 #9《다큐멘터리 추적 상영 및 GV》,28,5,12,3,재단인스타4/풀숲인스타2/페이스북4/블로그2,
9,천 개의 카메라 4기 《신성한 제의와 동쪽의 궁궐》,250,,-,0,6,-,재단인스타2/풀숲인스타1/페이스북2/블로그1,
10,시소리동굴,152,"CAVE JAM 워크숍
클로징 리셉션
야간 개관",20,8,8,-,재단인스타2/풀숲인스타2/페이스북2/블로그2,
11,"평화여, 멀구나",596,"오프닝 공연
넬켈라인 퍼포먼스
‘새와 사람의 날’ 작가 도슨트",45,8,9,-,재단인스타3/풀숲인스타1/페이스북3/블로그2,
12,오랜 정원에서,245,랩이야 #10《오랜 정원에서- 작가와의 만남》,30,10,8,-,재단인스타2/풀숲인스타2/페이스북2/블로그2,
13,두 번째 살갗: 303.8ha,253,랩이야 #11《두 번째 살갗: 303.8ha - 작가와의 만남》,30,13,12,-,재단인스타4/풀숲인스타4/페이스북3/블로그1,
14,제23회 사진비평상-창작상 수상기념 전시,,-,,8,3,,재단인스타1/풀숲인스타1/페이스북1,
