2026 공간풀숲 전시 정성자료,,,,,,,,,,,,,,,,,,,
,전시명,유형,내용,출처,기간,,,,,,,,,,,,,,
68,흐르지 않는 강: 김원의 4대강 기록,작가 후기,2008년 시작한 4대강 작업을 18년이 지난 오늘에서야 공개한다는 것이 감회가 새로웠습니다. 더불어 이제서야 제 이름으로 공개했다는 것도 개인적으로는 의미가 큽니다. 이번 전시가 아니었으면 공개되지 못했을 사진과 제 이름이었습니다.,작가,26.04.11 - 26.04.25,,"관람객 후기
방명록
SNS 댓글
설문

작가 후기
인터뷰
전시 서문
작가노트

언론 평가
기사
칼럼
리뷰

담당자 기록
운영일지
펠로우 보고서
회의록

",,,,,,,,,,,,
69,흐르지 않는 강: 김원의 4대강 기록,작가 후기,"사회적 측면에서 이번 전시의 목적은 잊어버린 기억의 복원과 더불어 4대강 사업의 진실을 다시 한 번 확인하는 것이었습니다. 처음부터 끝까지 거짓말로 이루어진 4대강 사업이 아직도 그대로라는 사실을 드러내고, 4대강의 미래에 대한 꿈을 공감하고 싶었습니다.",작가,26.04.11 - 26.04.25,,,,,,,,,,,,,,
70,흐르지 않는 강: 김원의 4대강 기록,작가 후기,"다큐멘터리 사진 작업을 하면서 늘 생각하는 것이 사실과 감성입니다. 사실적인 사진은 현상을 보여줄 수 있지만 건조할 수 있고, 감성적인 사진은 쉽게 다가갈 수는 있지만 사실감을 전달하기 어렵습니다. 저는 다큐멘터리 사진도 충분히 감정선을 가질 수 있다고 생각합니다. 제 사진을 보면서 많은 분들이 4대강 사진이 너무 아름답다고 했습니다. 전투적이지 않다고 했습니다. 제가 의도하고 있는 점을 관객들이 인식하고 있다는 것에 안도했습니다. 그러나 사진 배경에 잠재된 사실을 제대로 드러내지 못하는 한계도 있다고 생각합니다. 말로 설명하지 않아도 쉽게 팩트가 전달되는 사진도 필요합니다. 앞으로도 이런 한계를 넘어서기 위해 더 노력할 생각입니다. 사실과 감성이 조화와 균형을 이룰 수 있는 사진이 제가 바라는 사진이기 때문입니다.",작가,26.04.11 - 26.04.25,,,,,,,,,,,,,,
71,흐르지 않는 강: 김원의 4대강 기록,작가 후기,많은 분들이 와 주신 것에 감동했습니다. 특히나 동자동 쪽방촌에 계신 분들이 단체로 오셔서 축하해 주신 것이 고마웠습니다. 제가 알고 지내는 시각 장애인 분들이 사진에 닿을 정도로 얼굴을 대고 뭔가 보려는 모습에 감동했습니다. 오프닝 뒷풀이 때 식당에서 떼창 하다가 쫓겨날 뻔한 것도 기억에 남습니다. 공간풀숲 감독님의 창조적인 기획력과 코이네이터 분들의 살뜰한 준비와 꼼꼼함에 놀랐습니다. 모두 감사한 일입니다.,작가,26.04.11 - 26.04.25,,,,,,,,,,,,,,
76,마음의 기후,언론 평가,"돌봄의 시간은 결코 낭만적이지 않다. 그것은 반복되는 일상이며, 때로는 무력감과 피로로 가득한 과정이다. 그러나 작가는 그 시간 속에서 인간의 유한함을 배웠고, 존재의 근원을 마주했다. 매일 반복되는 돌봄의 행위 속에서 삶이 얼마나 연약한지, 동시에 얼마나 깊고 단단한지를 체감했을 것이다. 그 깨달음은 신작 ‘인간풍경’ 연작으로 이어져 이번 전시의 중심을 이룬다.","시민언론 민들레 
최연하 기자",26.02.19,,,문항을 작성 2-3개 정도 ,,,,,,,,,,,
77,마음의 기후,언론 평가,"우리는 늘 몸을 가지고 살아가지만, 정작 몸의 움직임과 존재를 깊이 들여다볼 기회는 많지 않다. 김영미의 드로잉은 그 경이로움을 되살려준다.","시민언론 민들레 
최연하 기자",26.02.19,,,"전시 성과 전시 후기 전시를 통해서 본인의 작업과 본인이 추구하는 예술관, 성과지점들, ",,,,,,,,,,,
78,마음의 기후,언론 평가,김영미의 화폭을 마주하고 있노라면 바람에 흩날리는 잊혀진 이름들의 합창이 들리는 듯하다. 인간 존재가 밀물처럼 밀려오는 그의 그림은 무수한 얼굴들의 별자리로 이뤄진 '기억의 천체'이자 '아름다운 유니버스'다.,"뉴스핌
이영란 기자",26.02.03,,,환경단체 관련자,,,,,,,,,,,
79,마음의 기후,언론 평가,"이 군상들은 단지 사람이 아니라, 살아내지 못한 말, 견디다 지워진 감정, 그리고 유전되지 않은 삶의 잔여물이기도 하다. 작가가 물감과 붓을 통해 남긴 흔적. 그것은 그가 살아 있다는, 그리고 삶에 대한 깊은 성찰을 통해 사랑하고 질문해가는 증거다.","뉴스핌
이영란 기자",26.02.03,,,전시를 특별히 잘 말해줄 수 있는 사람들이 있음,,,,,,,,,,,
80,마음의 기후,언론 평가,"김영미 작가는 매일 아침 작업실 근처 평화의공원을 홀로 산책하고, 제철 푸성귀와 싱싱한 해산물로 밥상을 차려 이웃과 함께 나눈다. 일상에서 자기의 몸을 돌보고, 나눔을 실천하는 삶이다. 마음의 기후를 살피고, 지구의 온도를 상상하며 동시에 이를 화폭에 옮기는 행위를 이어가는 것이다. '타자 돌봄'을 통해 자기를 돌보고, 나아가 사회 전체의 공적이고 정치적 책임으로 연결해 돌봄의 윤리와 가치를 새롭게 환기한다.","뉴스핌
이영란 기자",26.02.03,,,작가 본인 ,,,,,,,,,,,
81,"사라지기 전에: 현진오, 멸종위기식물 40년 기록",언론 평가,"공간풀숲은 이 전시를 위해 현진오 박사의 저술을 읽고, 식물의 다양한 얼굴을 작품으로 마주하는 가운데 한 식물학자의 연구 인생을 가까이에서 살펴볼 수 있도록 전시를 구성하였다.","시민언론 민들레 
최연하 기자",26.03.24,,,정량평가,,,,,,,,,,,
