# 시작일: 20250601,,,
# 종료일: 20260531,,,
페이지 경로 및 화면 클래스,조회수,,
/find,27571.0,,
/,14253.0,,
/items/show/1140,12792.0,,
/solr-search,2740.0,,
/multi-collections/multi-collections/group,1680.0,,
/find/intro,1662.0,,
/items/show/1168,1525.0,,
/about,1257.0,,
/items/show/1134,1216.0,,
/exhibits/column,1119.0,,
/items/show/1160,944.0,,
/exhibits/essay,704.0,,
/exhibits,688.0,,
/items/show/1133,674.0,,
/multi-collections/multi-collections/person,674.0,,
/users/login,630.0,,
/items/show/82808,450.0,,
/items/show/9881,445.0,,
/exhibits/show/essay-04/p01,430.0,,
/guest-user/user/register,419.0,,
/items/show/91889,417.0,,
/process,401.0,,
/items/show/12173,397.0,,
/guide,386.0,,
/contribution/contribute,380.0,,
/items/show/86321,347.0,,
/items/show/29460,327.0,,
/items/show/7400,294.0,,
/people,277.0,,
/items/show/26562,271.0,,
/items/show/85668,265.0,,
/exhibits/show/ex-02/ex-02-p01,244.0,,
/items/show/32408,240.0,,
/items/case,231.0,,
/contribution/donate,230.0,,
/items/show/79169,222.0,,
/contribution/sponsor,218.0,,
/items/show/1141,217.0,,
/items/show/1148,216.0,,
/exhibits/show/essay-03/p01,215.0,,
/notice,213.0,,
/items/show/86357,211.0,,
/contribution,208.0,,
/items/show/35119,191.0,,
/items/show/86230,190.0,,
/items/history,182.0,,
/items/show/27908,167.0,,
/guide-02,162.0,,
/items/show/27450,158.0,,
/multi-collections/multi-collections/show/id/31,149.0,,
/items/show/1156,148.0,,
/items/show/853,147.0,,
/items/show/24207,145.0,,
/items/group,139.0,,
/items/show/7526,135.0,,
/find/advanced,124.0,,
/items/show/28365,124.0,,
/items/show/27683,118.0,,
/items/show/65469,118.0,,
/items/show/83529,117.0,,
/items/show/24994,116.0,,
/items/show/76616,116.0,,
/items/show/42014,114.0,,
/items/show/8579,114.0,,
/exhibits/show/column-06/p01,110.0,,
/guide-04,110.0,,
/items/show/72149,109.0,,
/items/show/684,106.0,,
/guide-03,105.0,,
/exhibits/show/essay-02/p01,103.0,,
/items/show/1146,102.0,,
/items/show/62510,98.0,,
