# 시작일: 20250601,,
# 종료일: 20260531,,
국가,활성 사용자,새 사용자 수
South Korea,40918.0,40459.0
Vietnam,6292.0,6334.0
United States,1865.0,1845.0
India,1519.0,1519.0
Brazil,1475.0,1474.0
Singapore,1229.0,1228.0
Iraq,1181.0,1181.0
Hong Kong,927.0,927.0
Mexico,749.0,749.0
Argentina,735.0,735.0
Bangladesh,685.0,685.0
Japan,669.0,666.0
Indonesia,575.0,576.0
Germany,546.0,546.0
Venezuela,537.0,537.0
Pakistan,523.0,523.0
Colombia,326.0,325.0
Türkiye,279.0,279.0
Philippines,268.0,268.0
China,257.0,232.0
Saudi Arabia,237.0,237.0
Chile,221.0,220.0
South Africa,221.0,221.0
Morocco,199.0,199.0
Jordan,185.0,185.0
Egypt,180.0,180.0
Russia,175.0,176.0
Malaysia,171.0,171.0
Uzbekistan,169.0,168.0
Ukraine,166.0,166.0
Ecuador,163.0,163.0
Kenya,151.0,150.0
Syria,150.0,150.0
Tunisia,137.0,137.0
Algeria,136.0,136.0
Nepal,132.0,132.0
Uruguay,121.0,121.0
United Kingdom,115.0,116.0
France,105.0,105.0
United Arab Emirates,95.0,97.0
Senegal,93.0,93.0
Netherlands,84.0,83.0
Ireland,83.0,83.0
Azerbaijan,80.0,81.0
Paraguay,77.0,77.0
Canada,76.0,76.0
Ethiopia,74.0,74.0
(not set),72.0,72.0
Bolivia,71.0,71.0
Costa Rica,69.0,69.0
Israel,67.0,67.0
Lebanon,66.0,66.0
Kazakhstan,64.0,64.0
Nigeria,61.0,61.0
Palestine,54.0,54.0
Panama,53.0,53.0
Sweden,52.0,52.0
Jamaica,51.0,51.0
Oman,48.0,48.0
Albania,45.0,45.0
Dominican Republic,45.0,45.0
Peru,43.0,43.0
Nicaragua,42.0,42.0
Spain,38.0,39.0
Thailand,37.0,37.0
Kyrgyzstan,35.0,35.0
Angola,33.0,33.0
Congo - Brazzaville,31.0,31.0
Bahrain,30.0,30.0
Cambodia,29.0,29.0
Georgia,28.0,28.0
Hungary,27.0,26.0
Côte d’Ivoire,26.0,26.0
Honduras,26.0,26.0
Taiwan,24.0,24.0
Belarus,22.0,22.0
Moldova,22.0,22.0
Armenia,21.0,21.0
Libya,20.0,20.0
Poland,20.0,20.0
Bulgaria,19.0,19.0
Austria,18.0,18.0
Italy,18.0,18.0
Mongolia,18.0,18.0
Qatar,18.0,18.0
Serbia,18.0,18.0
Gabon,16.0,16.0
Botswana,14.0,14.0
Myanmar (Burma),14.0,14.0
Australia,13.0,13.0
Bosnia & Herzegovina,13.0,13.0
Kuwait,13.0,13.0
Romania,13.0,13.0
Slovakia,12.0,12.0
Sri Lanka,11.0,10.0
Latvia,10.0,10.0
Togo,10.0,10.0
Croatia,9.0,9.0
El Salvador,9.0,9.0
Guyana,9.0,9.0
Kosovo,9.0,9.0
Switzerland,9.0,8.0
Trinidad & Tobago,9.0,9.0
Guatemala,7.0,7.0
North Macedonia,7.0,7.0
Malta,6.0,6.0
Western Sahara,6.0,6.0
Ghana,5.0,5.0
Puerto Rico,5.0,5.0
Iran,4.0,3.0
Mali,4.0,4.0
Belgium,3.0,3.0
Cyprus,3.0,3.0
Czechia,3.0,3.0
Denmark,3.0,3.0
New Zealand,3.0,3.0
Portugal,3.0,3.0
Estonia,2.0,2.0
Norway,2.0,1.0
Slovenia,2.0,2.0
Tanzania,2.0,2.0
Barbados,1.0,1.0
Brunei,1.0,1.0
Cuba,1.0,1.0
Fiji,1.0,1.0
Finland,1.0,1.0
Greece,1.0,1.0
Haiti,1.0,1.0
Laos,1.0,1.0
Luxembourg,1.0,0.0
Maldives,1.0,1.0
Martinique,1.0,1.0
Mauritius,1.0,1.0
Seychelles,1.0,1.0
Uganda,1.0,1.0
Yemen,1.0,1.0
Zimbabwe,1.0,1.0
