,2025-06 ~ 2026-05,설명,,,,,,,,,,,,,,,,,
01 사용자 수,66876.0,,,,,,,,,,,,,,,,,,
02 페이지 조회수,138684.0,,,,,,,,,,,,,,,,,,
03 이벤트 수,370845.0,개별 이벤트 수는 개별 시트 참고,,,,,,,,,,,,,,,,,
04 유입 경로,,개별 시트 참고,,,,,,,,,,,,,,,,,
05 구글 자연 검색어,,개별 시트 참고,,,,,,,,,,,,,,,,,
06 인기 페이지,,"개별 시트 참고, 상위 1000개",,,,,,,,,,,,,,,,,
07 내부 검색어,,"개별 시트 참고, 상위 1000개",,,,,,,,,,,,,,,,,
08 성별 사용자,,개별 시트 참고,,,,,,,,,,,,,,,,,
09 연령별 사용자,,개별 시트 참고,,,,,,,,,,,,,,,,,
10 기기별 사용자,,개별 시트 참고,,,,,,,,,,,,,,,,,
11 국가별 사용자,,개별 시트 참고,,,,,,,,,,,,,,,,,
